               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.041046,             0.08649,                   0,              0.9193,             0.88873,             0.92738,             0.71828,            0.023874,             0.03679,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.037352,             0.07633,                   0,              0.9161,             0.89598,             0.93102,             0.64623,            0.026681,             0.03767,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.042069,            0.070478,                   0,             0.91339,             0.89598,             0.93106,             0.69706,            0.025983,            0.037029,                   0,             0.00532,             0.00532,             0.00532
                  54,             0.03709,            0.097021,                   0,              0.8847,             0.92435,             0.92862,             0.73979,            0.022832,            0.035969,                   0,             0.00523,             0.00523,             0.00523
                  55,            0.036297,            0.077681,                   0,             0.91377,             0.90071,             0.93242,             0.68568,            0.027089,            0.036511,                   0,             0.00514,             0.00514,             0.00514
                  56,             0.03387,            0.078148,                   0,             0.89078,             0.90307,             0.92716,             0.74057,            0.021746,            0.036228,                   0,             0.00505,             0.00505,             0.00505
                  57,             0.03746,            0.072276,                   0,             0.92132,              0.8747,             0.92964,              0.7113,            0.021653,            0.036064,                   0,             0.00496,             0.00496,             0.00496
                  58,            0.037977,            0.072846,                   0,             0.89409,             0.91807,             0.93113,             0.75571,            0.021214,            0.034666,                   0,             0.00487,             0.00487,             0.00487
                  59,            0.034669,            0.069031,                   0,             0.92267,             0.89362,             0.93842,             0.74911,            0.021434,            0.034616,                   0,             0.00478,             0.00478,             0.00478
                  60,            0.032117,            0.076152,                   0,             0.88541,             0.92671,             0.93188,             0.69854,            0.023875,            0.036256,                   0,             0.00469,             0.00469,             0.00469
                  61,             0.03554,            0.091241,                   0,             0.89546,             0.93155,             0.93391,             0.73769,            0.022416,            0.034412,                   0,              0.0046,              0.0046,              0.0046
                  62,            0.035381,            0.081506,                   0,              0.8903,             0.94011,             0.93845,             0.77182,            0.020652,            0.033404,                   0,             0.00451,             0.00451,             0.00451
                  63,            0.032573,            0.073528,                   0,             0.89888,             0.93617,             0.94022,              0.7321,            0.023489,            0.035269,                   0,             0.00442,             0.00442,             0.00442
                  64,            0.028601,            0.074016,                   0,             0.89812,             0.92199,             0.93651,              0.7463,            0.022365,            0.034277,                   0,             0.00433,             0.00433,             0.00433
                  65,            0.033994,            0.072716,                   0,             0.90874,             0.93381,             0.94182,             0.77462,            0.021044,            0.033662,                   0,             0.00424,             0.00424,             0.00424
                  66,            0.038779,            0.080369,                   0,             0.90522,             0.92435,             0.93947,             0.75439,            0.020537,            0.033979,                   0,             0.00415,             0.00415,             0.00415
                  67,            0.032006,            0.075674,                   0,              0.9213,             0.91324,             0.93731,             0.78606,            0.019002,            0.033555,                   0,             0.00406,             0.00406,             0.00406
                  68,             0.03456,            0.065601,                   0,             0.92137,             0.89835,             0.93832,             0.77782,            0.020109,            0.034711,                   0,             0.00397,             0.00397,             0.00397
                  69,             0.03289,            0.084561,                   0,             0.93129,             0.90071,             0.93544,             0.78821,            0.019351,            0.033567,                   0,             0.00388,             0.00388,             0.00388
                  70,            0.031786,            0.070095,                   0,             0.93913,             0.89598,             0.93542,             0.79946,            0.019923,            0.033715,                   0,             0.00379,             0.00379,             0.00379
                  71,             0.03642,            0.087612,                   0,             0.92717,             0.90307,             0.93352,              0.7904,            0.019601,             0.03446,                   0,              0.0037,              0.0037,              0.0037
                  72,            0.031372,            0.071961,                   0,             0.92054,             0.90375,             0.93271,             0.79146,            0.019892,            0.035232,                   0,             0.00361,             0.00361,             0.00361
                  73,             0.03801,             0.11943,                   0,             0.91104,             0.92199,             0.93396,             0.79751,            0.019541,            0.034381,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.032345,            0.078106,                   0,             0.90727,             0.92199,             0.93453,             0.80781,            0.020054,            0.033284,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.029706,            0.069205,                   0,              0.9156,             0.91726,             0.94032,             0.80352,             0.01976,            0.032646,                   0,             0.00334,             0.00334,             0.00334
                  76,            0.034614,            0.070794,                   0,             0.90934,             0.92482,             0.94266,             0.82019,            0.019069,            0.032708,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.034509,            0.086372,                   0,             0.92073,             0.91489,             0.94073,             0.81184,            0.018271,            0.032714,                   0,             0.00316,             0.00316,             0.00316
                  78,            0.028479,            0.066009,                   0,             0.90864,             0.92199,              0.9421,             0.80652,            0.017877,            0.032788,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.029196,            0.071259,                   0,             0.91541,             0.92099,             0.94404,             0.81892,            0.017811,            0.032955,                   0,             0.00298,             0.00298,             0.00298
                  80,             0.03029,            0.058968,                   0,             0.92345,             0.91253,              0.9421,             0.80695,            0.018432,            0.032702,                   0,             0.00289,             0.00289,             0.00289
                  81,             0.03169,            0.078625,                   0,             0.92335,             0.91017,             0.93781,             0.80299,            0.018881,            0.034146,                   0,              0.0028,              0.0028,              0.0028
                  82,            0.031553,            0.074463,                   0,             0.91544,             0.91962,             0.93717,             0.79839,            0.019036,            0.034269,                   0,             0.00271,             0.00271,             0.00271
                  83,            0.029779,            0.077895,                   0,             0.91447,             0.92671,             0.94001,             0.79687,            0.018215,            0.033682,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.026308,            0.081822,                   0,             0.92358,             0.91434,             0.93891,             0.79811,            0.018732,            0.034284,                   0,             0.00253,             0.00253,             0.00253
